460	1	0	97	28
478	1	1	98	28
537	1	2	99	28
442	1	3	96	27
421	1	4	97	27
431	1	5	98	27
479	1	6	99	27
461	1	7	95	26
437	1	8	96	26
450	1	9	97	26
457	1	10	98	26
482	1	11	99	26
462	1	12	95	25
463	1	13	96	25
480	1	14	97	25
476	1	15	98	25
494	1	16	99	25
476	1	17	94	24
475	1	18	95	24
476	1	19	96	24
493	1	20	97	24
487	1	21	98	24
492	1	22	99	24
511	1	23	93	23
424	1	24	94	23
432	1	25	95	23
505	1	26	96	23
500	1	27	97	23
492	1	28	98	23
496	1	29	99	23
513	1	30	93	22
494	1	31	94	22
519	1	32	95	22
521	1	33	96	22
508	1	34	97	22
508	1	35	98	22
503	1	36	99	22
493	1	37	100	22
517	1	38	93	21
506	1	39	94	21
544	1	40	95	21
543	1	41	96	21
527	1	42	97	21
522	1	43	98	21
518	1	44	99	21
495	1	45	100	21
488	1	46	101	21
504	1	47	93	20
514	1	48	94	20
543	1	49	95	20
545	1	50	96	20
525	1	51	97	20
533	1	52	98	20
518	1	53	99	20
504	1	54	100	20
505	1	55	94	19
543	1	56	95	19
545	1	57	96	19
523	1	58	97	19
533	1	59	98	19
511	1	60	99	19
523	1	61	94	18
524	1	62	95	18
533	1	63	96	18
521	1	64	97	18
522	1	65	98	18
520	1	66	99	18
507	1	67	95	17
513	1	68	96	17
509	1	69	97	17
503	1	70	98	17
506	1	71	99	17
500	1	72	95	16
493	1	73	96	16
499	1	74	97	16
497	1	75	98	16
498	1	76	99	16
498	1	77	98	15
493	1	78	99	15
499	1	79	98	14
503	1	80	99	14
534	1	81	100	14
504	1	82	98	13
478	1	83	99	13
527	1	84	100	13
520	1	85	98	12
471	1	86	99	12
540	1	87	100	12
520	1	88	98	11
468	1	89	99	11
549	1	90	100	11
470	1	91	99	10

