8996,29,Hakha,93.973611,21.371667,"21? 22' 18""",Chin,,0,8996,93.973611,21.371667,POINT,(93.97361100000001,21.371667),8522,2939,1988,377,2084,142,106,24.4543534382,,
6436,30,Hakha,92.854722,21.304444,"21? 18' 16""",Chin,,0,6436,92.854722,21.304444,POINT,(92.854722,21.304444),19516,4191,2204,123,286,154,27,1.4654642345,,
9474,31,Hakha,93.69175,23.603064,"23? 36' 11.03""",Chin,,0,9474,93.69175,23.603064,POINT,(93.69175,23.603064),4941,596,1016,83,371,78,26,7.5086014977,,
5,32,Mawlamyine,197827,97.625833,"16? 29' 05""",Mon,Mon,State,5,197827,97.625833,16.484722,POINT,(97.625833,16.484722),57457,15312,45142,3732,34727,4033,7219,60.4399812033,
15497,33,Mawlamyine,97.239444,17.22,"17? 13' 12""",Mon,,0,15497,97.239444,17.22,POINT,(97.23944400000001,17.22),39231,13128,16953,1230,8892,429,592,22.665749025,,
35245,34,Mawlamyine,97.550556,16.351111,"16? 21' 04""",Mon,,0,35245,97.550556,16.351111,POINT,(97.550556,16.351111),27944,13726,17171,1335,8744,476,910,31.291153736,,
11985,35,Mawlamyine,97.724167,16.370556,"16? 22' 14""",Mon,,0,11985,97.724167,16.370556,POINT,(97.72416699999999,16.370556),38888,10530,21832,1702,8573,472,797,22.0453610368,,
27646,36,Mawlamyine,97.02,17.311667,"17? 18' 42""",Mon,,0,27646,97.02,17.311667,POINT,(97.02,17.311667),38088,12212,19132,1636,12015,794,722,31.54536862,,
62696,37,Mawlamyine,97.724722,16.258056,"16? 15' 29""",Mon,,0,62696,97.724722,16.258056,POINT,(97.724722,16.258056),39312,14838,28907,1705,16245,971,605,41.3232600733,,
30511,38,Mawlamyine,97.456667,16.616667,"16? 37' 00""",Mon,,0,30511,97.456667,16.616667,POINT,(97.456667,16.616667),43726,15860,26958,1914,13038,676,1599,29.8174998857,,
47068,39,Mawlamyine,97.733333,15.966667,"15? 58' 00""",Mon,,0,47068,97.733333,15.966667,POINT,(97.733333,15.966667),36234,11377,23962,1991,12169,1018,1505,33.5844786664,,
68730,40,Mawlamyine,97.367778,16.919722,"16? 55' 11""",Mon,,0,68730,97.367778,16.919722,POINT,(97.367778,16.919722),48284,16137,25502,2002,14961,1070,1384,30.9854196007,,
97692,41,Mawlamyine,97.854167,15.251944,"15? 15' 07""",Mon,,0,97692,97.854167,15.251944,POINT,(97.854167,15.251944),53448,14593,32909,2152,15150,1087,1113,28.3453075887,,
6,42,Sittwe,728529,92.885556,"20? 08' 14""",Rakhine,Rakhine,State,6,728529,92.885556,20.137222,POINT,(92.88555599999999,20.137222),29036,9556,13522,1500,12905,1608,2716,44.4448271112,
7225,43,Sittwe,94.047778,19.795278,"19? 47' 43""",Rakhine,,0,7225,94.047778,19.795278,POINT,(94.04777799999999,19.795278),27359,7008,5744,876,3937,232,199,14.3901458387,,
28790,44,Sittwe,92.525,20.875,"20? 52' 30""",Rakhine,,0,28790,92.525,20.875,POINT,(92.52500000000001,20.875),11264,3097,2655,259,2578,199,398,22.8870738636,,
37387,45,Sittwe,94.58,17.593611,"17? 35' 37""",Rakhine,,0,37387,94.58,17.593611,POINT,(94.58,17.593611),17326,7757,5286,620,2826,204,567,16.3107468544,,
36646,46,Sittwe,93.554444,19.423889,"19? 25' 26""",Rakhine,,0,36646,93.554444,19.423889,POINT,(93.554444,19.423889),37264,9487,9301,930,5937,466,392,15.9322670674,,
